id;group;student;subject;semester;mark;lesson_date;date;time
0;245;0;45;5;;07.09;2022-04-27;14:49
1;245;0;45;5;Н;14.09;2022-04-27;14:49
2;245;0;45;5;4;21.09;2022-04-27;14:49
3;245;0;45;5;4;28.09;2022-04-27;14:49
4;245;0;45;5;4;05.10;2022-04-27;14:49
5;245;0;45;5;4;12.10;2022-04-27;14:49
6;245;0;45;5;4;26.10;2022-04-27;14:49
7;245;0;45;5;4;02.11;2022-04-27;14:49
8;245;0;45;5;Н;09.11;2022-04-27;14:49
9;245;0;45;5;4;09.11;2022-04-27;14:49
10;245;0;45;5;5;16.11;2022-04-27;14:49
11;245;0;45;5;4;23.11;2022-04-27;14:49
12;245;0;45;5;;14.12;2022-04-27;14:49
13;245;0;45;5;4;21.12;2022-04-27;14:49
14;245;0;45;5;4;26.10;2022-04-27;14:49
15;245;0;45;5;4;14.12;2022-04-27;14:49
16;245;0;45;5;;А3;2022-04-27;14:49
17;245;0;45;5;;А4;2022-04-27;14:49
18;245;0;45;5;4;21.12;2022-04-27;14:49
19;245;1;45;5;;07.09;2022-04-27;14:49
20;245;1;45;5;Н;14.09;2022-04-27;14:49
21;245;1;45;5;4;21.09;2022-04-27;14:49
22;245;1;45;5;4;28.09;2022-04-27;14:49
23;245;1;45;5;5;05.10;2022-04-27;14:49
24;245;1;45;5;4;12.10;2022-04-27;14:49
25;245;1;45;5;5;26.10;2022-04-27;14:49
26;245;1;45;5;4;02.11;2022-04-27;14:49
27;245;1;45;5;5;09.11;2022-04-27;14:49
28;245;1;45;5;5;09.11;2022-04-27;14:49
29;245;1;45;5;5;16.11;2022-04-27;14:49
30;245;1;45;5;4;23.11;2022-04-27;14:49
31;245;1;45;5;4;14.12;2022-04-27;14:49
32;245;1;45;5;5;21.12;2022-04-27;14:49
33;245;1;45;5;4;26.10;2022-04-27;14:49
34;245;1;45;5;5;14.12;2022-04-27;14:49
35;245;1;45;5;;А3;2022-04-27;14:49
36;245;1;45;5;;А4;2022-04-27;14:49
37;245;1;45;5;5;21.12;2022-04-27;14:49
38;245;2;45;5;5;07.09;2022-04-27;14:49
39;245;2;45;5;5;14.09;2022-04-27;14:49
40;245;2;45;5;3;21.09;2022-04-27;14:49
41;245;2;45;5;4;28.09;2022-04-27;14:49
42;245;2;45;5;5;05.10;2022-04-27;14:49
43;245;2;45;5;Н;12.10;2022-04-27;14:49
44;245;2;45;5;Н;26.10;2022-04-27;14:49
45;245;2;45;5;5;02.11;2022-04-27;14:49
46;245;2;45;5;5;09.11;2022-04-27;14:49
47;245;2;45;5;5;09.11;2022-04-27;14:49
48;245;2;45;5;3;16.11;2022-04-27;14:49
49;245;2;45;5;5;23.11;2022-04-27;14:49
50;245;2;45;5;4;14.12;2022-04-27;14:49
51;245;2;45;5;5;21.12;2022-04-27;14:49
52;245;2;45;5;5;26.10;2022-04-27;14:49
53;245;2;45;5;5;14.12;2022-04-27;14:49
54;245;2;45;5;;А3;2022-04-27;14:49
55;245;2;45;5;;А4;2022-04-27;14:49
56;245;2;45;5;5;21.12;2022-04-27;14:49
57;245;3;45;5;5;07.09;2022-04-27;14:49
58;245;3;45;5;Н;14.09;2022-04-27;14:49
59;245;3;45;5;4;21.09;2022-04-27;14:49
60;245;3;45;5;;28.09;2022-04-27;14:49
61;245;3;45;5;4;05.10;2022-04-27;14:49
62;245;3;45;5;Н;12.10;2022-04-27;14:49
63;245;3;45;5;;26.10;2022-04-27;14:49
64;245;3;45;5;3;02.11;2022-04-27;14:49
65;245;3;45;5;5;09.11;2022-04-27;14:49
66;245;3;45;5;5;09.11;2022-04-27;14:49
67;245;3;45;5;4;16.11;2022-04-27;14:49
68;245;3;45;5;4;23.11;2022-04-27;14:49
69;245;3;45;5;;14.12;2022-04-27;14:49
70;245;3;45;5;4;21.12;2022-04-27;14:49
71;245;3;45;5;5;26.10;2022-04-27;14:49
72;245;3;45;5;4;14.12;2022-04-27;14:49
73;245;3;45;5;;А3;2022-04-27;14:49
74;245;3;45;5;;А4;2022-04-27;14:49
75;245;3;45;5;4;21.12;2022-04-27;14:49
76;245;4;45;5;Н;07.09;2022-04-27;14:49
77;245;4;45;5;Н;14.09;2022-04-27;14:49
78;245;4;45;5;4;21.09;2022-04-27;14:49
79;245;4;45;5;Н;28.09;2022-04-27;14:49
80;245;4;45;5;Н;05.10;2022-04-27;14:49
81;245;4;45;5;4;12.10;2022-04-27;14:49
82;245;4;45;5;4;26.10;2022-04-27;14:49
83;245;4;45;5;3;02.11;2022-04-27;14:49
84;245;4;45;5;Н;09.11;2022-04-27;14:49
85;245;4;45;5;Н;09.11;2022-04-27;14:49
86;245;4;45;5;3;16.11;2022-04-27;14:49
87;245;4;45;5;4;23.11;2022-04-27;14:49
88;245;4;45;5;;14.12;2022-04-27;14:49
89;245;4;45;5;4;21.12;2022-04-27;14:49
90;245;4;45;5;4;26.10;2022-04-27;14:49
